id,address_id,transaction_id,received,sent
87134765,46402336,19162323,0,1800000
87134766,45919235,19162323,0,1071052
87134767,46529090,19162323,1e+06,0
87134768,46529091,19162323,1821052,0
87154706,46529090,19166856,0,1e+06
87154707,46539634,19166856,90000,0
87154708,46402336,19166856,9e+05,0
87187802,46553407,19174421,0,4800000
87187803,46557249,19174421,4590000,0
87187804,46529090,19174421,2e+05,0
87261028,46529090,19190163,0,2e+05
87261029,46553407,19190163,150000,0
87335815,46529091,19205422,0,1821052
87335816,46402336,19205422,0,9e+05
87335817,46529090,19205422,1e+06,0
87335818,46633507,19205422,1671052,0
87337901,46634484,19205781,0,28000
87337902,46529091,19205781,5500,0
87337903,46634487,19205781,12500,0
87337917,46529090,19205784,0,1e+06
87337918,46553407,19205784,390800,0
87337919,46634493,19205784,599200,0
87337920,46634493,19205785,0,599200
87337921,46634494,19205785,198400,0
87337922,46553407,19205785,390800,0
87341478,46633507,19206618,0,1671052
87341479,46529090,19206618,2e+05,0
87341480,46636275,19206618,1421052,0
87341540,46402172,19206638,0,5850000
87341541,46636314,19206638,1e+06,0
87341542,46636315,19206638,4800000,0
87351697,46634494,19209078,0,198400
87351698,46634487,19209078,0,12500
87351699,46529090,19209078,0,2e+05
87351700,46636314,19209078,0,1e+06
87351701,46641608,19209078,1010100,0
87351702,46633507,19209078,390800,0
87822075,46636275,19309743,0,1421052
87822076,46529090,19309743,1e+05,0
87822077,46893012,19309743,1271052,0
87822975,46641608,19309929,0,1010100
87822976,46893482,19309929,994600,0
87822977,46636275,19309929,5500,0
88124868,46893482,19374859,0,994600
88124869,46529090,19374859,0,1e+05
88124870,46402336,19374859,5500,0
88124871,47053878,19374859,1079100,0
88229618,47010917,19396141,0,1972120
88229619,45920402,19396141,0,5430
88229620,46636275,19396141,0,5500
88229621,2275432,19396141,0,6400
88229622,47003045,19396141,0,1061052
88229623,47111104,19396141,1000502,0
88229624,46636314,19396141,2e+06,0
88230215,46633507,19396292,0,390800
88230216,47111104,19396292,0,1000502
88230217,47111408,19396292,1241302,0
88230218,46529090,19396292,1e+05,0
88231798,46893012,19396703,0,1071052
88231799,46529090,19396703,10000,0
88231800,47112308,19396703,1011052,0
88232308,47111408,19396844,0,1241302
88232309,46893012,19396844,0,1004424
88232310,47112599,19396844,1095726,0
88232311,46529090,19396844,1100000,0
88232836,46529090,19396928,0,1e+05
88232837,46636314,19396928,0,2e+06
88232838,47111408,19396928,1090000,0
88232839,47112851,19396928,1e+06,0
89118828,46633507,19591049,0,190400
89118829,47112308,19591049,0,1011052
89118830,46529090,19591049,1e+05,0
89118831,47571634,19591049,1051452,0
89248737,47572735,19619755,0,1030600
89248738,47638724,19619755,1015100,0
89248739,46553407,19619755,5500,0
89249038,46553407,19619845,0,390800
89249039,46553407,19619845,0,390800
89249040,46553407,19619845,0,390800
89249041,46529090,19619845,1e+05,0
89249042,47638900,19619845,1062400,0
89263214,46557249,19623084,0,4590000
89263215,47645837,19623084,4380000,0
89263216,46529090,19623084,2e+05,0
89263526,46529090,19623186,0,1100000
89263527,46557249,19623186,390800,0
89263528,47646029,19623186,699200,0
89263679,46553407,19623223,0,150000
89263680,47638900,19623223,0,1062400
89263681,47646108,19623223,1102400,0
89263682,46529090,19623223,1e+05,0
89263705,46529090,19623227,0,10000
89263706,47638724,19623227,0,1015100
89263707,47646115,19623227,1009600,0
89263708,46553407,19623227,5500,0
89382396,47646108,19649592,0,1102400
89382397,46553407,19649592,0,5500
89382398,46553407,19649592,0,5500
89382399,47706810,19649592,1003400,0
89382400,46529090,19649592,1e+05,0
89382424,46529090,19649597,0,1e+05
89382425,46529090,19649597,0,1e+05
89382426,47646115,19649597,0,1009600
89382427,47646108,19649597,190400,0
89382428,47706821,19649597,1009200,0
89814364,47645837,19743827,0,4380000
89814365,46529090,19743827,1e+06,0
89814366,47927630,19743827,3370000,0
89814748,46529090,19743893,0,1e+05
89814749,46529090,19743893,0,2e+05
89814750,47646029,19743893,0,699200
89814751,47706821,19743893,0,1009200
89814752,47645837,19743893,1994000,0
90430179,47646108,19878215,0,190400
90430180,47706810,19878215,0,1003400
90430181,46529090,19878215,1e+05,0
90430182,48244353,19878215,1083800,0
90430201,46529090,19878220,0,1e+05
90430202,46529090,19878220,0,1e+06
90430203,47646108,19878220,5500,0
90430204,48244362,19878220,1084500,0
90446147,48244362,19881731,0,1084500
90446148,46557249,19881731,591200,0
90446149,48252697,19881731,483300,0
90446405,46557249,19881803,0,390800
90446406,48244353,19881803,0,1083800
90446407,48252849,19881803,1164600,0
90446408,46529090,19881803,3e+05,0
90497477,46633507,19891785,0,390800
90497478,47571634,19891785,0,1051452
90497479,48280592,19891785,1242252,0
90497480,46529090,19891785,1e+05,0
90500783,46529090,19892582,0,1e+05
90500784,48282248,19892582,84500,0
90500785,46633507,19892582,5500,0
90550691,48282248,19903889,0,84500
90550692,46529090,19903889,0,1e+05
90550693,48307397,19903889,74500,0
90550694,46633507,19903889,1e+05,0
90605825,46893012,19916608,0,5430
90605826,46633507,19916608,0,1e+05
90605827,46529091,19916608,0,5500
90605828,47111408,19916608,0,1090000
90605829,48336068,19916608,1000930,0
90605830,46529090,19916608,1e+05,0
90607621,46529090,19916973,0,3e+05
90607622,46893012,19916973,190400,0
90607623,48336847,19916973,99600,0
90885614,46529091,19979174,0,5500
90885615,48280592,19979174,0,1e+05
90885616,47112599,19979174,0,1095726
90885617,48480963,19979174,1001226,0
90885618,46529090,19979174,1e+05,0
90889612,48307397,19980139,0,74500
90889613,46529091,19980139,5500,0
90889614,48482989,19980139,59000,0
91295300,48459066,20068441,0,1173918
91295301,48691538,20068441,1063918,0
91295302,46529090,20068441,1e+05,0
91295487,48336847,20068493,0,99600
91295488,48482989,20068493,0,59000
91295489,46529090,20068493,0,1e+05
91295490,48691642,20068493,58200,0
91295491,48459066,20068493,190400,0
91370278,15275527,20084311,0,1957000
91370279,48729420,20084311,1807000,0
91370280,46529090,20084311,1e+05,0
91371426,48726764,20084553,0,150000
91371427,48726765,20084553,0,1094318
91371428,46529090,20084553,1e+05,0
91371429,48729997,20084553,1134318,0
91371998,46529090,20084697,0,1e+05
91371999,48730292,20084697,84500,0
91372000,48726764,20084697,5500,0
91380495,48730995,20086738,0,120000
91380496,48734636,20086738,10000,0
91380497,46529090,20086738,1e+05,0
91606661,48336068,20132485,0,1000930
91606662,46893012,20132485,0,190400
91606663,46529090,20132485,1e+05,0
91606664,48858008,20132485,1041330,0
91608664,48480963,20133022,0,1001226
91608665,48858008,20133022,0,1041330
91608666,46529090,20133022,1e+05,0
91608667,48859118,20133022,1892556,0
91610108,48734564,20133260,0,27200
91610109,48336068,20133260,5490,0
91610110,48859661,20133260,11710,0
91610154,46529090,20133277,0,1e+05
91610155,48480963,20133277,5500,0
91610156,48859690,20133277,84500,0
91610157,46529090,20133278,0,1e+05
91610158,48859691,20133278,84500,0
91610159,48336068,20133278,5500,0
92675744,48729997,20365393,0,1134318
92675745,49421255,20365393,1024318,0
92675746,46529090,20365393,1e+05,0
92676600,48844973,20365589,0,1462417
92676601,46529090,20365589,1e+05,0
92676602,49421692,20365589,1352417,0
92677925,46529090,20365917,0,1e+05
92677926,46529090,20365917,0,1e+05
92677927,48859661,20365917,0,11710
92677928,48729997,20365917,190400,0
92677929,49422340,20365917,11310,0
92703007,48859118,20371744,0,1892556
92703008,49435192,20371744,2e+05,0
92703009,49435193,20371744,1642556,0
92703518,46529090,20371871,0,1e+05
92703519,49422340,20371871,0,11310
92703520,46529090,20371871,0,1e+05
92703521,49435462,20371871,10310,0
92703522,48859118,20371871,191000,0
